instrument_token	exchange_token	tradingsymbol	name	last_price	expiry	strike	tick_size	lot_size	instrument_type	segment	exchange
13063170	51028	NIFTY21JUN13300PE	NIFTY	0	6/24/2021	13300	0.05	75	PE	NFO-OPT	NFO
13063426	51029	NIFTY21JUN13350CE	NIFTY	0	6/24/2021	13350	0.05	75	CE	NFO-OPT	NFO
13081090	51098	NIFTY21JUN13350PE	NIFTY	0	6/24/2021	13350	0.05	75	PE	NFO-OPT	NFO
13081602	51100	NIFTY21JUN13400CE	NIFTY	0	6/24/2021	13400	0.05	75	CE	NFO-OPT	NFO
13106946	51199	NIFTY21JUN13400PE	NIFTY	0	6/24/2021	13400	0.05	75	PE	NFO-OPT	NFO
13107202	51200	NIFTY21JUN13450CE	NIFTY	0	6/24/2021	13450	0.05	75	CE	NFO-OPT	NFO
13108482	51205	NIFTY21JUN13450PE	NIFTY	0	6/24/2021	13450	0.05	75	PE	NFO-OPT	NFO
12520706	48909	NIFTY21JUN13500CE	NIFTY	0	6/24/2021	13500	0.05	75	CE	NFO-OPT	NFO
10053122	39270	NIFTY21JUN13500PE	NIFTY	0	6/24/2021	13500	0.05	75	PE	NFO-OPT	NFO
13108738	51206	NIFTY21JUN13550CE	NIFTY	0	6/24/2021	13550	0.05	75	CE	NFO-OPT	NFO
13110530	51213	NIFTY21JUN13550PE	NIFTY	0	6/24/2021	13550	0.05	75	PE	NFO-OPT	NFO
13110786	51214	NIFTY21JUN13600CE	NIFTY	0	6/24/2021	13600	0.05	75	CE	NFO-OPT	NFO
13111554	51217	NIFTY21JUN13600PE	NIFTY	0	6/24/2021	13600	0.05	75	PE	NFO-OPT	NFO
13111810	51218	NIFTY21JUN13650CE	NIFTY	0	6/24/2021	13650	0.05	75	CE	NFO-OPT	NFO
13112578	51221	NIFTY21JUN13650PE	NIFTY	0	6/24/2021	13650	0.05	75	PE	NFO-OPT	NFO
13112834	51222	NIFTY21JUN13700CE	NIFTY	0	6/24/2021	13700	0.05	75	CE	NFO-OPT	NFO
13114626	51229	NIFTY21JUN13700PE	NIFTY	0	6/24/2021	13700	0.05	75	PE	NFO-OPT	NFO
13114882	51230	NIFTY21JUN13750CE	NIFTY	0	6/24/2021	13750	0.05	75	CE	NFO-OPT	NFO
13117954	51242	NIFTY21JUN13750PE	NIFTY	0	6/24/2021	13750	0.05	75	PE	NFO-OPT	NFO
13118210	51243	NIFTY21JUN13800CE	NIFTY	0	6/24/2021	13800	0.05	75	CE	NFO-OPT	NFO
13121794	51257	NIFTY21JUN13800PE	NIFTY	0	6/24/2021	13800	0.05	75	PE	NFO-OPT	NFO
13122050	51258	NIFTY21JUN13850CE	NIFTY	0	6/24/2021	13850	0.05	75	CE	NFO-OPT	NFO
13123842	51265	NIFTY21JUN13850PE	NIFTY	0	6/24/2021	13850	0.05	75	PE	NFO-OPT	NFO
13124098	51266	NIFTY21JUN13900CE	NIFTY	0	6/24/2021	13900	0.05	75	CE	NFO-OPT	NFO
13124354	51267	NIFTY21JUN13900PE	NIFTY	0	6/24/2021	13900	0.05	75	PE	NFO-OPT	NFO
13124610	51268	NIFTY21JUN13950CE	NIFTY	0	6/24/2021	13950	0.05	75	CE	NFO-OPT	NFO
13124866	51269	NIFTY21JUN13950PE	NIFTY	0	6/24/2021	13950	0.05	75	PE	NFO-OPT	NFO
11100418	43361	NIFTY21JUN14000CE	NIFTY	0	6/24/2021	14000	0.05	75	CE	NFO-OPT	NFO
11100674	43362	NIFTY21JUN14000PE	NIFTY	0	6/24/2021	14000	0.05	75	PE	NFO-OPT	NFO
13125122	51270	NIFTY21JUN14050CE	NIFTY	0	6/24/2021	14050	0.05	75	CE	NFO-OPT	NFO
13125378	51271	NIFTY21JUN14050PE	NIFTY	0	6/24/2021	14050	0.05	75	PE	NFO-OPT	NFO
13125634	51272	NIFTY21JUN14100CE	NIFTY	0	6/24/2021	14100	0.05	75	CE	NFO-OPT	NFO
13125890	51273	NIFTY21JUN14100PE	NIFTY	0	6/24/2021	14100	0.05	75	PE	NFO-OPT	NFO
13126914	51277	NIFTY21JUN14150CE	NIFTY	0	6/24/2021	14150	0.05	75	CE	NFO-OPT	NFO
13127170	51278	NIFTY21JUN14150PE	NIFTY	0	6/24/2021	14150	0.05	75	PE	NFO-OPT	NFO
13127426	51279	NIFTY21JUN14200CE	NIFTY	0	6/24/2021	14200	0.05	75	CE	NFO-OPT	NFO
13127682	51280	NIFTY21JUN14200PE	NIFTY	0	6/24/2021	14200	0.05	75	PE	NFO-OPT	NFO
13131266	51294	NIFTY21JUN14250CE	NIFTY	0	6/24/2021	14250	0.05	75	CE	NFO-OPT	NFO
13131522	51295	NIFTY21JUN14250PE	NIFTY	0	6/24/2021	14250	0.05	75	PE	NFO-OPT	NFO
13267714	51827	NIFTY21JUN14300CE	NIFTY	0	6/24/2021	14300	0.05	75	CE	NFO-OPT	NFO
13131778	51296	NIFTY21JUN14300PE	NIFTY	0	6/24/2021	14300	0.05	75	PE	NFO-OPT	NFO
13132034	51297	NIFTY21JUN14350CE	NIFTY	0	6/24/2021	14350	0.05	75	CE	NFO-OPT	NFO
13132290	51298	NIFTY21JUN14350PE	NIFTY	0	6/24/2021	14350	0.05	75	PE	NFO-OPT	NFO
13132546	51299	NIFTY21JUN14400CE	NIFTY	0	6/24/2021	14400	0.05	75	CE	NFO-OPT	NFO
13132802	51300	NIFTY21JUN14400PE	NIFTY	0	6/24/2021	14400	0.05	75	PE	NFO-OPT	NFO
13133058	51301	NIFTY21JUN14450CE	NIFTY	0	6/24/2021	14450	0.05	75	CE	NFO-OPT	NFO
13133314	51302	NIFTY21JUN14450PE	NIFTY	0	6/24/2021	14450	0.05	75	PE	NFO-OPT	NFO
11102210	43368	NIFTY21JUN14500CE	NIFTY	0	6/24/2021	14500	0.05	75	CE	NFO-OPT	NFO
11102466	43369	NIFTY21JUN14500PE	NIFTY	0	6/24/2021	14500	0.05	75	PE	NFO-OPT	NFO
13133570	51303	NIFTY21JUN14550CE	NIFTY	0	6/24/2021	14550	0.05	75	CE	NFO-OPT	NFO
13133826	51304	NIFTY21JUN14550PE	NIFTY	0	6/24/2021	14550	0.05	75	PE	NFO-OPT	NFO
13134082	51305	NIFTY21JUN14600CE	NIFTY	0	6/24/2021	14600	0.05	75	CE	NFO-OPT	NFO
13134338	51306	NIFTY21JUN14600PE	NIFTY	0	6/24/2021	14600	0.05	75	PE	NFO-OPT	NFO
13134594	51307	NIFTY21JUN14650CE	NIFTY	0	6/24/2021	14650	0.05	75	CE	NFO-OPT	NFO
13134850	51308	NIFTY21JUN14650PE	NIFTY	0	6/24/2021	14650	0.05	75	PE	NFO-OPT	NFO
13135106	51309	NIFTY21JUN14700CE	NIFTY	0	6/24/2021	14700	0.05	75	CE	NFO-OPT	NFO
13135362	51310	NIFTY21JUN14700PE	NIFTY	0	6/24/2021	14700	0.05	75	PE	NFO-OPT	NFO
13135618	51311	NIFTY21JUN14750CE	NIFTY	0	6/24/2021	14750	0.05	75	CE	NFO-OPT	NFO
13135874	51312	NIFTY21JUN14750PE	NIFTY	0	6/24/2021	14750	0.05	75	PE	NFO-OPT	NFO
13136130	51313	NIFTY21JUN14800CE	NIFTY	0	6/24/2021	14800	0.05	75	CE	NFO-OPT	NFO
13136386	51314	NIFTY21JUN14800PE	NIFTY	0	6/24/2021	14800	0.05	75	PE	NFO-OPT	NFO
13136642	51315	NIFTY21JUN14850CE	NIFTY	0	6/24/2021	14850	0.05	75	CE	NFO-OPT	NFO
13136898	51316	NIFTY21JUN14850PE	NIFTY	0	6/24/2021	14850	0.05	75	PE	NFO-OPT	NFO
13137154	51317	NIFTY21JUN14900CE	NIFTY	0	6/24/2021	14900	0.05	75	CE	NFO-OPT	NFO
13137666	51319	NIFTY21JUN14900PE	NIFTY	0	6/24/2021	14900	0.05	75	PE	NFO-OPT	NFO
13137922	51320	NIFTY21JUN14950CE	NIFTY	0	6/24/2021	14950	0.05	75	CE	NFO-OPT	NFO
13138178	51321	NIFTY21JUN14950PE	NIFTY	0	6/24/2021	14950	0.05	75	PE	NFO-OPT	NFO
10255874	40062	NIFTY21JUN15000CE	NIFTY	0	6/24/2021	15000	0.05	75	CE	NFO-OPT	NFO
10256130	40063	NIFTY21JUN15000PE	NIFTY	0	6/24/2021	15000	0.05	75	PE	NFO-OPT	NFO
13138434	51322	NIFTY21JUN15050CE	NIFTY	0	6/24/2021	15050	0.05	75	CE	NFO-OPT	NFO
13138690	51323	NIFTY21JUN15050PE	NIFTY	0	6/24/2021	15050	0.05	75	PE	NFO-OPT	NFO
13138946	51324	NIFTY21JUN15100CE	NIFTY	0	6/24/2021	15100	0.05	75	CE	NFO-OPT	NFO
13139202	51325	NIFTY21JUN15100PE	NIFTY	0	6/24/2021	15100	0.05	75	PE	NFO-OPT	NFO
13139458	51326	NIFTY21JUN15150CE	NIFTY	0	6/24/2021	15150	0.05	75	CE	NFO-OPT	NFO
13139714	51327	NIFTY21JUN15150PE	NIFTY	0	6/24/2021	15150	0.05	75	PE	NFO-OPT	NFO
13139970	51328	NIFTY21JUN15200CE	NIFTY	0	6/24/2021	15200	0.05	75	CE	NFO-OPT	NFO
13140738	51331	NIFTY21JUN15200PE	NIFTY	0	6/24/2021	15200	0.05	75	PE	NFO-OPT	NFO
13140994	51332	NIFTY21JUN15250CE	NIFTY	0	6/24/2021	15250	0.05	75	CE	NFO-OPT	NFO
13141250	51333	NIFTY21JUN15250PE	NIFTY	0	6/24/2021	15250	0.05	75	PE	NFO-OPT	NFO
13141506	51334	NIFTY21JUN15300CE	NIFTY	0	6/24/2021	15300	0.05	75	CE	NFO-OPT	NFO
13141762	51335	NIFTY21JUN15300PE	NIFTY	0	6/24/2021	15300	0.05	75	PE	NFO-OPT	NFO
13142018	51336	NIFTY21JUN15350CE	NIFTY	0	6/24/2021	15350	0.05	75	CE	NFO-OPT	NFO
13142274	51337	NIFTY21JUN15350PE	NIFTY	0	6/24/2021	15350	0.05	75	PE	NFO-OPT	NFO
13142530	51338	NIFTY21JUN15400CE	NIFTY	0	6/24/2021	15400	0.05	75	CE	NFO-OPT	NFO
13143042	51340	NIFTY21JUN15400PE	NIFTY	0	6/24/2021	15400	0.05	75	PE	NFO-OPT	NFO
13143298	51341	NIFTY21JUN15450CE	NIFTY	0	6/24/2021	15450	0.05	75	CE	NFO-OPT	NFO
13143554	51342	NIFTY21JUN15450PE	NIFTY	0	6/24/2021	15450	0.05	75	PE	NFO-OPT	NFO
11646466	45494	NIFTY21JUN15500CE	NIFTY	0	6/24/2021	15500	0.05	75	CE	NFO-OPT	NFO
11648258	45501	NIFTY21JUN15500PE	NIFTY	0	6/24/2021	15500	0.05	75	PE	NFO-OPT	NFO
13143810	51343	NIFTY21JUN15550CE	NIFTY	0	6/24/2021	15550	0.05	75	CE	NFO-OPT	NFO
13144066	51344	NIFTY21JUN15550PE	NIFTY	0	6/24/2021	15550	0.05	75	PE	NFO-OPT	NFO
13144322	51345	NIFTY21JUN15600CE	NIFTY	0	6/24/2021	15600	0.05	75	CE	NFO-OPT	NFO
13144578	51346	NIFTY21JUN15600PE	NIFTY	0	6/24/2021	15600	0.05	75	PE	NFO-OPT	NFO
13144834	51347	NIFTY21JUN15650CE	NIFTY	0	6/24/2021	15650	0.05	75	CE	NFO-OPT	NFO
13145090	51348	NIFTY21JUN15650PE	NIFTY	0	6/24/2021	15650	0.05	75	PE	NFO-OPT	NFO
13145346	51349	NIFTY21JUN15700CE	NIFTY	0	6/24/2021	15700	0.05	75	CE	NFO-OPT	NFO
13145602	51350	NIFTY21JUN15700PE	NIFTY	0	6/24/2021	15700	0.05	75	PE	NFO-OPT	NFO
13145858	51351	NIFTY21JUN15750CE	NIFTY	0	6/24/2021	15750	0.05	75	CE	NFO-OPT	NFO
13146114	51352	NIFTY21JUN15750PE	NIFTY	0	6/24/2021	15750	0.05	75	PE	NFO-OPT	NFO
13146370	51353	NIFTY21JUN15800CE	NIFTY	0	6/24/2021	15800	0.05	75	CE	NFO-OPT	NFO
13146626	51354	NIFTY21JUN15800PE	NIFTY	0	6/24/2021	15800	0.05	75	PE	NFO-OPT	NFO
8975362	35060	NIFTY21JUN15850CE	NIFTY	0	6/24/2021	15850	0.05	75	CE	NFO-OPT	NFO
8975618	35061	NIFTY21JUN15850PE	NIFTY	0	6/24/2021	15850	0.05	75	PE	NFO-OPT	NFO
8975874	35062	NIFTY21JUN15900CE	NIFTY	0	6/24/2021	15900	0.05	75	CE	NFO-OPT	NFO
8976130	35063	NIFTY21JUN15900PE	NIFTY	0	6/24/2021	15900	0.05	75	PE	NFO-OPT	NFO
8977410	35068	NIFTY21JUN15950CE	NIFTY	0	6/24/2021	15950	0.05	75	CE	NFO-OPT	NFO
8977666	35069	NIFTY21JUN15950PE	NIFTY	0	6/24/2021	15950	0.05	75	PE	NFO-OPT	NFO
10142466	39619	NIFTY21JUN16000CE	NIFTY	0	6/24/2021	16000	0.05	75	CE	NFO-OPT	NFO
10143234	39622	NIFTY21JUN16000PE	NIFTY	0	6/24/2021	16000	0.05	75	PE	NFO-OPT	NFO
9443330	36888	NIFTY21JUN16050CE	NIFTY	0	6/24/2021	16050	0.05	75	CE	NFO-OPT	NFO
9443586	36889	NIFTY21JUN16050PE	NIFTY	0	6/24/2021	16050	0.05	75	PE	NFO-OPT	NFO
9443842	36890	NIFTY21JUN16100CE	NIFTY	0	6/24/2021	16100	0.05	75	CE	NFO-OPT	NFO
9444098	36891	NIFTY21JUN16100PE	NIFTY	0	6/24/2021	16100	0.05	75	PE	NFO-OPT	NFO
9444354	36892	NIFTY21JUN16150CE	NIFTY	0	6/24/2021	16150	0.05	75	CE	NFO-OPT	NFO
9444610	36893	NIFTY21JUN16150PE	NIFTY	0	6/24/2021	16150	0.05	75	PE	NFO-OPT	NFO
9445122	36895	NIFTY21JUN16200CE	NIFTY	0	6/24/2021	16200	0.05	75	CE	NFO-OPT	NFO
9445378	36896	NIFTY21JUN16200PE	NIFTY	0	6/24/2021	16200	0.05	75	PE	NFO-OPT	NFO
9445634	36897	NIFTY21JUN16250CE	NIFTY	0	6/24/2021	16250	0.05	75	CE	NFO-OPT	NFO
9445890	36898	NIFTY21JUN16250PE	NIFTY	0	6/24/2021	16250	0.05	75	PE	NFO-OPT	NFO
9446146	36899	NIFTY21JUN16300CE	NIFTY	0	6/24/2021	16300	0.05	75	CE	NFO-OPT	NFO
9446402	36900	NIFTY21JUN16300PE	NIFTY	0	6/24/2021	16300	0.05	75	PE	NFO-OPT	NFO
9446658	36901	NIFTY21JUN16350CE	NIFTY	0	6/24/2021	16350	0.05	75	CE	NFO-OPT	NFO
9446914	36902	NIFTY21JUN16350PE	NIFTY	0	6/24/2021	16350	0.05	75	PE	NFO-OPT	NFO
13775618	53811	NIFTY21JUN16400CE	NIFTY	0	6/24/2021	16400	0.05	75	CE	NFO-OPT	NFO
13775874	53812	NIFTY21JUN16400PE	NIFTY	0	6/24/2021	16400	0.05	75	PE	NFO-OPT	NFO
10550274	41212	NIFTY21JUN16450CE	NIFTY	0	6/24/2021	16450	0.05	75	CE	NFO-OPT	NFO
10550530	41213	NIFTY21JUN16450PE	NIFTY	0	6/24/2021	16450	0.05	75	PE	NFO-OPT	NFO
8961538	35006	NIFTY21JUN16500CE	NIFTY	0	6/24/2021	16500	0.05	75	CE	NFO-OPT	NFO
8961794	35007	NIFTY21JUN16500PE	NIFTY	0	6/24/2021	16500	0.05	75	PE	NFO-OPT	NFO
11516162	44985	NIFTY21JUN16550CE	NIFTY	0	6/24/2021	16550	0.05	75	CE	NFO-OPT	NFO
11516418	44986	NIFTY21JUN16550PE	NIFTY	0	6/24/2021	16550	0.05	75	PE	NFO-OPT	NFO
11517186	44989	NIFTY21JUN16600CE	NIFTY	0	6/24/2021	16600	0.05	75	CE	NFO-OPT	NFO
11517442	44990	NIFTY21JUN16600PE	NIFTY	0	6/24/2021	16600	0.05	75	PE	NFO-OPT	NFO
11726338	45806	NIFTY21JUN16650CE	NIFTY	0	6/24/2021	16650	0.05	75	CE	NFO-OPT	NFO
11728130	45813	NIFTY21JUN16650PE	NIFTY	0	6/24/2021	16650	0.05	75	PE	NFO-OPT	NFO
11729410	45818	NIFTY21JUN16700CE	NIFTY	0	6/24/2021	16700	0.05	75	CE	NFO-OPT	NFO
11732226	45829	NIFTY21JUN16700PE	NIFTY	0	6/24/2021	16700	0.05	75	PE	NFO-OPT	NFO
12591874	49187	NIFTY21JUN16750CE	NIFTY	0	6/24/2021	16750	0.05	75	CE	NFO-OPT	NFO
12592130	49188	NIFTY21JUN16750PE	NIFTY	0	6/24/2021	16750	0.05	75	PE	NFO-OPT	NFO
12592386	49189	NIFTY21JUN16800CE	NIFTY	0	6/24/2021	16800	0.05	75	CE	NFO-OPT	NFO
12592642	49190	NIFTY21JUN16800PE	NIFTY	0	6/24/2021	16800	0.05	75	PE	NFO-OPT	NFO
13278978	51871	NIFTY21JUN16850CE	NIFTY	0	6/24/2021	16850	0.05	75	CE	NFO-OPT	NFO
13281794	51882	NIFTY21JUN16850PE	NIFTY	0	6/24/2021	16850	0.05	75	PE	NFO-OPT	NFO
9001474	35162	NIFTY21JUN16900CE	NIFTY	0	6/24/2021	16900	0.05	75	CE	NFO-OPT	NFO
9001730	35163	NIFTY21JUN16900PE	NIFTY	0	6/24/2021	16900	0.05	75	PE	NFO-OPT	NFO
9005570	35178	NIFTY21JUN16950CE	NIFTY	0	6/24/2021	16950	0.05	75	CE	NFO-OPT	NFO
9005826	35179	NIFTY21JUN16950PE	NIFTY	0	6/24/2021	16950	0.05	75	PE	NFO-OPT	NFO
11730946	45824	NIFTY21JUN17000CE	NIFTY	0	6/24/2021	17000	0.05	75	CE	NFO-OPT	NFO
11731714	45827	NIFTY21JUN17000PE	NIFTY	0	6/24/2021	17000	0.05	75	PE	NFO-OPT	NFO
10763010	42043	NIFTY21JUN17500CE	NIFTY	0	6/24/2021	17500	0.05	75	CE	NFO-OPT	NFO
10764290	42048	NIFTY21JUN17500PE	NIFTY	0	6/24/2021	17500	0.05	75	PE	NFO-OPT	NFO
14105346	55099	NIFTY21JUN18000CE	NIFTY	0	6/24/2021	18000	0.05	75	CE	NFO-OPT	NFO
14105602	55100	NIFTY21JUN18000PE	NIFTY	0	6/24/2021	18000	0.05	75	PE	NFO-OPT	NFO
11726594	45807	NIFTY21JUN6000PE	NIFTY	0	6/24/2021	6000	0.05	75	PE	NFO-OPT	NFO
11757826	45929	NIFTY21JUN8100PE	NIFTY	0	6/24/2021	8100	0.05	75	PE	NFO-OPT	NFO
11758338	45931	NIFTY21JUN8200PE	NIFTY	0	6/24/2021	8200	0.05	75	PE	NFO-OPT	NFO
11759362	45935	NIFTY21JUN8300PE	NIFTY	0	6/24/2021	8300	0.05	75	PE	NFO-OPT	NFO
11759874	45937	NIFTY21JUN8400PE	NIFTY	0	6/24/2021	8400	0.05	75	PE	NFO-OPT	NFO
11761410	45943	NIFTY21JUN8500PE	NIFTY	0	6/24/2021	8500	0.05	75	PE	NFO-OPT	NFO
11761922	45945	NIFTY21JUN8600PE	NIFTY	0	6/24/2021	8600	0.05	75	PE	NFO-OPT	NFO
11762946	45949	NIFTY21JUN8700PE	NIFTY	0	6/24/2021	8700	0.05	75	PE	NFO-OPT	NFO
11763458	45951	NIFTY21JUN8800PE	NIFTY	0	6/24/2021	8800	0.05	75	PE	NFO-OPT	NFO
11764994	45957	NIFTY21JUN9000PE	NIFTY	0	6/24/2021	9000	0.05	75	PE	NFO-OPT	NFO
11766018	45961	NIFTY21JUN9100PE	NIFTY	0	6/24/2021	9100	0.05	75	PE	NFO-OPT	NFO
11766530	45963	NIFTY21JUN9200PE	NIFTY	0	6/24/2021	9200	0.05	75	PE	NFO-OPT	NFO
